de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Stangensellerie, roh;Céleri branche, cru;Sedano, crudo;Celery, raw;2;15;0;0;2;0,9;1;110;1,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetable-Health-Raw-Vegetables-Celery-Healthy-1354330.jpg
Steinpilz, gedünstet (ohne Zugabe von Fett und Salz);Bolet, à l'étuvée (sans adjonction de graisse ni de sel);Fungo porcino, stufato (senza aggiunta di grasso e sale);Edible boletus, stewed (without addition of fat and salt);1;40;1;0,1;7,3;4,4;4,2;6,4;0,1;https://upload.wikimedia.org/wikipedia/commons/3/34/Suillus_luteus_475376.jpg
Steinpilz, roh;Bolet, cru;Fungo porcino, crudo;Edible boletus, fresh;1;35;0;0,1;6;3,6;3,6;6;0,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Brown-Moss-Boletus-Fresh-Color-Fungus-Forest-Red-2157546.jpg
Surimi;Surimi;Surimi;Surimi;6;85;1;0;0;12,6;0;700;0;https://upload.wikimedia.org/wikipedia/commons/6/64/Surimi_-_b%C3%A2tonnet_et_miettes.jpg
Taboulé, zubereitet (mit Bulgur);Taboulé, préparé (avec Boulgour);Taboulé, preparato (con Bulgur);Taboulé, prepared (with Bulgur);12;115;6;0,7;2,9;2,4;2,1;150;1,3;https://upload.wikimedia.org/wikipedia/commons/2/2e/Arabic-Shells-Dips-Sauces-Dumplings-Appetizers-Vegetables-1626976.jpg
Taboulé, zubereitet (mit Couscous);Taboulé, préparé (avec Couscous);Taboulé, preparato (con Couscous);Taboulé, prepared (with Couscous);16;135;6;0,8;1,4;3;2;170;1,3;https://upload.wikimedia.org/wikipedia/en/9/93/Moroccan_couscous2006.jpg
Tartarsauce, selbst zubereitet mit Rapsöl-Mayonnaise;Sauce tartare, préparée à la maison avec la mayonnaise de colza;Salsa tartar, fatta in casa con maionese di colza;Tartare sauce, home made with rapeseed mayonnaise;2;385;40;4;0,6;3,6;6,7;140;1,8;https://c1.staticflickr.com/3/2773/4249862162_26939f52cf_b.jpg
Tee, ungezuckert;Thé, non sucré;Té, non zuccherato;Tea, no sugar added;0;0;0;0;0;0;1;0;0;https://upload.wikimedia.org/wikipedia/commons/8/80/Hot_China-tea.jpg
Teigwaren mit Ei, gekocht im Salzwasser (unjodiert);Pâtes alimentaires aux oeufs, cuites à l'eau salée (sel non iodé);Pasta all'uovo, cotta in acqua salata (sale non iodato);Pasta with egg, cooked in salted water (uniodised);26;140;1;0,1;1,3;5;1,4;340;1,4;https://upload.wikimedia.org/wikipedia/commons/a/a6/Vegetarianism_and_veganism_page_views%2C_Wikipedia.jpg
Teigwaren mit Ei, trocken;Pâtes alimentaires aux oeufs, sèches;Pasta all'uovo, secca;Pasta with egg, dry;70;365;3;0,4;3,4;13,3;3,3;17;3,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Background-Eat-Dry-Diet-Dinner-Health-Gold-Food-2093.jpg
Teigwaren ohne Ei, gekocht im Salzwasser (unjodiert);Pâtes alimentaires sans oeufs, cuites à l'eau salée (sel non iodé);Pasta, cotta in acqua salata (sale non iodato);Pasta egg-free, cooked in salted water (uniodised);33;165;1;0,1;2,4;5,8;0,7;420;0,2;https://upload.wikimedia.org/wikipedia/commons/a/a6/Vegetarianism_and_veganism_page_views%2C_Wikipedia.jpg
Teigwaren ohne Ei, trocken;Pâtes alimentaires sans oeufs, sèches;Pasta, secca;Pasta egg-free, dry;71;355;1;0,2;5,1;12,5;1;5;0,4;https://cdn.pixabay.com/photo/2010/12/13/10/00/background-2093_960_720.jpg
Teigwaren ohne Ei, Vollkorn, gekocht im Salzwasser (unjodiert);Pâtes alimentaires au blé complet, cuites à l'eau salée (sel non iodé);Pasta integrale, cotta in acqua salata (sale non iodato);Wholemeal pasta egg-free, cooked in salted water (uniodised);28;160;1;0,2;5,4;6,2;1,1;420;0,3;https://upload.wikimedia.org/wikipedia/commons/a/a6/Vegetarianism_and_veganism_page_views%2C_Wikipedia.jpg
Teigwaren ohne Ei, Vollkorn, trocken;Pâtes alimentaires au blé complet, sèches;Pasta integrale, secca;Wholemeal pasta egg-free, dry;61;345;3;0,4;11,5;13,4;2;5;0,7;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Teigwarenauflauf mit Schinken, zubereitet;Gratin de pâtes au jambon, préparé;Timballo di pasta con prosciutto, preparato;Pasta gratin with ham, prepared;15;170;7;3,4;1;10,4;11;470;1,4;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Teigwarensalat mit französischer Sauce;Salade de pâte à la sauce française;Insalata di pasta con salsa francese;Pasta salad with French dressing;13;135;6;0,9;1,3;5,5;4,6;300;1;https://upload.wikimedia.org/wikipedia/commons/5/58/GreenSalad.jpg
Teigwarensalat mit italienischer Sauce;Salade de pâte à la sauce italienne;Insalata di pasta con salsa italiana;Pasta salat with Italian dressing;13;135;6;1;1,3;5,4;4,4;280;1;http://img14.deviantart.net/fc9f/i/2015/217/6/8/summer_pasta_by_brok3nd011-d94dud5.jpg
Teilentrahmte Milch, pasteurisiert;Lait partiellement écrémé, pasteurisé;Latte parzialmente scremato, pastorizzato;Milk partially skimmed, pasteurized;5;60;3;1,6;0;3,2;6,3;39;4,7;https://upload.wikimedia.org/wikipedia/commons/6/6e/Dg_milk_containers.jpg
Teilentrahmte Milch, UHT;Lait partiellement écrémé, UHT;Latte parzialmente scremato, UHT;Milk partially skimmed, UHT;5;60;3;1,7;0;3,4;8,5;38;4,6;https://upload.wikimedia.org/wikipedia/commons/3/36/From_Abhisheka_To_Panchamrutha.jpg
Tessinerbrot;Pain tessinois;Pane ticinese;White bread from Ticino;57;325;5;0,7;2,9;10,3;1;670;0,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Ticino-Wine-Festival-Wood-Oven-Bread-Red-Wine-Wine-2165965.jpg
Tête de Moine;Tête de Moine;Formaggio Tête de Moine;Tête de Moine;0;420;36;21,3;0;24,7;28;930;0;https://upload.wikimedia.org/wikipedia/commons/1/13/Girolle_7910.jpg
Thon im Öl, abgetropft;Thon à l'huile, égoutté;Tonno, sott'olio, sgocciolato;Tuna in oil, drained;0;190;8;1,5;0;27,6;43;350;0;https://upload.wikimedia.org/wikipedia/commons/d/d2/Tuna_pasta_salad.jpg
Thon im Wasser, abgetropft;Thon au naturel, égoutté;Tonno, in salamoia, sgocciolato;Tuna in water, drained;0;120;2;0,5;0;25,6;0;420;0;https://c1.staticflickr.com/3/2240/4298518769_fe7367219e_b.jpg
Thonsalat an Essig-Öl-Sauce (aus Thon im Wasser);Salade de thon au naturel, sauce au vinaigre et huile;Insalata al tonno (di tonno in salamoia) con salsa aceto-olio;Tuna salad on oil-vinagre-dressing (made from tuna in water);7;110;5;0,7;1,1;9;0,3;330;3,2;https://upload.wikimedia.org/wikipedia/commons/8/88/Nizza-Salat_an_der_F_Mittelmeerk%C3%BCste.JPG
Thunfisch, roh;Thon, cru;Tonno, crudo;Fish, tuna, raw;0;150;6;1,8;0;23,4;50;39;0;https://cdn.pixabay.com/photo/2016/08/23/21/28/tuna-1615592_960_720.jpg
Thymian, roh;Thym, cru;Timo, fresco;Thyme, fresh;7;55;1;0,6;3;1,5;1;9;7,3;https://c1.staticflickr.com/7/6192/6121426994_a5acc6687a_b.jpg
Tilsiter, pasteurisiert, vollfett;Tilsit au lait pasteurisé, gras;Formaggio Tilsiter di latte pastorizzato, grasso;Tilsiter, pasteurized milk, at least 45% fidm;0;355;28;16,8;0;24,6;7,2;550;0;
Tilsiter, Rohmilch, vollfett;Tilsit au lait cru, gras;Formaggio Tilsiter di latte crudo, grasso;Tilsiter, raw milk, at least 45% fidm;0;380;30;18,1;0;26,1;7,9;690;0;
Tirolercake;Cake tyrolien;Cake alla tirolese;Tyrolese cake;41;415;23;10,3;2,5;8,1;8,2;53;20,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Mountains-Tyrol-Austria-Tannheimertal-Vilsalpsee-746585.jpg
Toastbrot mit Butter;Pain de mie au beurre;Pane per toast al burro;Bread for toasting, white, made with butter;46;320;10;5,9;2,2;8,9;4,8;540;2,7;https://cdn.pixabay.com/photo/2012/02/29/11/52/buttered-18641_960_720.jpg
Toastbrot mit Pflanzenölen;Pain de mie à huile végétale;Pane per toast all'olio vegetale;Bread for toasting, white, made with vegetable oil;46;335;12;2;2,2;8,9;4,8;540;2,7;https://cdn.pixabay.com/photo/2017/03/31/18/44/carrot-soup-2192152_960_720.jpg
Tofu;Tofu;Tofu;Tofu;1;85;5;0,1;1,2;8,1;10;7;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Japanese_SilkyTofu_%28Kinugoshi_Tofu%29.JPG/281px-Japanese_SilkyTofu_%28Kinugoshi_Tofu%29.JPG
Tomate, gedünstet (ohne Zugabe von Fett und Salz);Tomate, à l'étuvée (sans adjonction de graisse ni de sel);Pomodoro, stufato (senza aggiunta di grasso e sale);Tomato, stewed (without addition of fat and salt);4;30;0;0;1,6;1;1,4;2,1;4,2;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Tomate, geschält (Konserve);Tomate, pelée, conserve;Pomodoro, pelato, conserva;Tomato, peeled (pelati), canned;3;20;0;0;1;0,9;2;100;2,9;https://upload.wikimedia.org/wikipedia/commons/9/98/Spaghetti-prepared.jpg
Tomate, roh;Tomate, crue;Pomodoro, crudo;Tomato, raw;3;25;0;0;1,2;0,8;1,1;1,6;3,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Red-Matina-Cherry-Tomato-Raw-Ripe-Green-Flavor-88135.jpg
Tomatenkuchen, gebacken (mit Blätterteig);Gateau aux tomates, cuit au four (pâte feuilletée);Torta ai pomodori, cotta nel forno (pasta sfoglia);Tomato quiche, baked (with puff pastry);10;160;11;6,2;1;3,5;5,5;140;2,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Quiche-Cheese-Onion-Dough-Tomatoes-Egg-Eat-Bacon-1579383.jpg
Tomatenkuchen, gebacken (mit Kuchenteig);Gateu aux tomates, cuit au four (pâte à gateau);Torta ai pomodori, cotta nel forno (pasta per torta);Tomato quiche, baked (with cake dough);12;150;9;4,8;1,1;3,9;5,5;150;2,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Dough-Quiche-Tomatoes-Cheese-Vegetable-Cake-1403459.jpg
Tomatenpüree;Purée de tomate;Pomodoro, purea ;Tomato paste;13;80;0;0;2,8;4,5;4;240;12,4;https://upload.wikimedia.org/wikipedia/commons/e/e8/Tomato_paste_on_spoon.jpg
Tomatensaft;Jus de tomate;Succo di pomodoro;Tomato juice;3;15;0;0;0,1;0,8;2;220;2,1;http://www.publicdomainpictures.net/pictures/190000/velka/organic-tomato-juice-1473360704tm1.jpg
Tomatensauce;Sauce tomate;Salsa al pomodoro;Tomato sauce;10;70;2;0,5;1,9;1,8;1,6;540;4,1;https://upload.wikimedia.org/wikipedia/commons/2/22/Mackerel_tomato_sauce.jpg
Tomatensuppe;Soupe de tomate;Zuppa al pomodoro;Tomato soup;7;45;1;0,5;0,7;1;3;410;3,5;https://cdn.pixabay.com/photo/2015/02/03/16/31/soup-622737_960_720.jpg
Tomme;Tomme;Tomino ;Tomme cheese;0;290;23;13,5;0;20,7;0;720;0;https://upload.wikimedia.org/wikipedia/commons/5/5a/TommedeBeaujolais.jpg
Traube, roh;Raisin, cru;Uva, cruda;Grape, fresh;15;70;0;0,1;1,5;0,7;1;2;15;http://maxpixel.freegreatpicture.com/static/photo/1x/Grape-Fresh-Grapes-Ripe-Food-Bunch-Healthy-Fruit-498680.jpg
Traubenkernöl;Huile de pépins de raisin;Olio di vinaccioli;Grape seed oil;0;810;90;9;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/2/2a/Grapeseed-oil.jpg
Traubensaft;Jus de raisin;Succo d'uva;Grape juice;15;65;0;0;0;0,2;1;2;14,8;https://upload.wikimedia.org/wikipedia/commons/5/54/Grape_Juice.jpg
Traubenzucker;Sucre de raisin;Zucchero d'uva;Glucose;100;400;0;0;0;0;0;0;99,8;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Alpha_glucose_views.svg/2000px-Alpha_glucose_views.svg.png
Trinkwasser (Mittelwert Schweiz);Eau potable (en moyenne en Suisse);Acqua di rubinetto (in medio in Svizzera);Drinking water (average Switzerland);0;0;0;0;0;0;0;1;0;https://upload.wikimedia.org/wikipedia/commons/e/e8/Lake_Marathon_Dam%2C_Greece.jpg
Trockenfleisch;Viande séchée ( du Grison, du Tessin, du Valais);Carne secca (dei Grigioni, del Ticino o del Vallese);Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat);0;190;4;1,6;0;39,3;0;1620;0,4;
Truthahn, Brust, Schnitzel oder Geschnetzeltes, roh;Dinde, poitrine, escalope ou émincé, crue;Tacchino, petto, scaloppina o sminuzzato, crudo;Turkey, breast (schnitzel, ground), raw;0;110;1;0,3;0;24;1,5;63;0;
Vacherin Mont d'Or;Vacherin Mont d'Or;Formaggio Vacherin Mont d'Or;Vacherin Mont d'or;0;280;23;13,9;0;17,6;20;690;0;https://upload.wikimedia.org/wikipedia/commons/f/ff/Vacherin_Mont_d%27Or_01_09.jpg
Vanillecrème, gekocht;Crème à la vanille, cuite;Crema alla vaniglia, cotta;Vanille cream, cooked;24;140;4;2;0;3,2;7,6;31;23,8;https://c1.staticflickr.com/4/3660/3452599539_f5ec78a837_b.jpg
Vinaigrette (mit Rapsöl);Vinaigrette (avec huile de colza);Vinaigrette (con olio di colza);Vinaigrette dressing (with rapeseed oil);2;260;25;2,6;0,5;4,4;11;120;1,9;https://upload.wikimedia.org/wikipedia/commons/d/d4/Making_vinaigrette.jpg
Vitello tonnato mit Garnitur;Vitello tonnato avec garniture;Vitello tonnato con guarnizione;Vitello tonnato with garnish;1;180;11;2,5;0,2;19,2;13;250;0,6;https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Vitello_tonnato_2015.jpg/571px-Vitello_tonnato_2015.jpg
Vitello tonnato ohne Garnitur;Vitello tonnato sans garniture;Vitello tonnato senza guarnizione;Vitello tonnato without garnish;1;210;13;2,9;0;23,2;13;280;0,3;https://upload.wikimedia.org/wikipedia/commons/6/62/Vitello_tonnato_2015.jpg
Vollkornreiswaffel;Gallette de riz complet;Galletta di riso integrale;Wholemeal rice waffles;82;395;3;0,6;4,2;8,2;0;330;1,5;https://c1.staticflickr.com/8/7077/7211743764_9793d4c659_z.jpg
Vollmilch, pasteurisiert;Lait entier, pasteurisé;Latte intero, pastorizzato;Whole milk, pasteurized;5;70;4;2,4;0;3,3;10;39;4,7;https://upload.wikimedia.org/wikipedia/commons/f/f1/Kirkland_Milk_Jug.JPG
Vollmilch, UHT;Lait entier, UHT;Latte intero, UHT;Whole milk, UHT;5;70;4;2,5;0;3,3;9,4;39;4,6;https://upload.wikimedia.org/wikipedia/commons/c/c0/Whole_milk_UHT.jpg
Vollmilchpulver;Lait entier en poudre;Latte intero, in polvere;Whole milk powder;35;480;26;15,7;0;24,7;27;370;35,1;https://upload.wikimedia.org/wikipedia/commons/c/c8/Milk_powder_Incolac.jpg
Vollrahm, pasteurisiert;Crème entière, pasteurisée;Panna intera, pastorizzata;Cream, 35% fat, pasteurized;3;335;35;20,8;0;2;7;35;3,1;https://upload.wikimedia.org/wikipedia/commons/1/12/Schokolade-schwarz-braun-weiss.jpg
Vollrahm, UHT;Crème entière, UHT;Panna intera, UHT;Cream, 35% fat, UHT;3;335;35;20,8;0;2;6,1;25;3,1;https://upload.wikimedia.org/wikipedia/commons/3/36/From_Abhisheka_To_Panchamrutha.jpg
Vorderschinken;Jambon cuit de devant;Prosciutto cotto di spalla;Pork, ham from shoulder, raw;0;110;3;1,2;0;18,6;3,6;870;0,4;https://cdn.pixabay.com/photo/2012/04/13/11/31/ham-31982_960_720.png
Vorzugsbutter;Beurre de choix;Burro speciale;Butter of choice;1;750;82;49,4;0;0,7;8;10;0,6;https://c1.staticflickr.com/9/8850/28385353271_a78affc4c1_z.jpg
Walliser Roggenbrot;Pain de seigle valaisan;Pane di segale vallesano;Rye bread from Valais;43;220;1;0,1;7;6,3;3,1;570;0,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Fresh-Slice-Bread-Food-Crust-Eat-Wheat-Lunch-1111585.jpg
Wasabi Paste;Pâte wasabi;Pasta di wasabi;Wasabi Paste;50;310;11;;1,3;2,9;;2330;;https://upload.wikimedia.org/wikipedia/commons/6/69/Wasabi_on_green_shiso_leaves_by_june29.jpg
Wassereis;Glace à l'eau;Ghiacciolo;Water ice;22;90;0;0;0;0;0;0;22;https://cdn.pixabay.com/photo/2016/05/11/10/58/ice-1385507_960_720.jpg
Wassermelone, roh;Pastèque, crue;Anguria, cruda;Watermelon, fresh;6;30;0;0;0,3;0,5;10;2;6,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruit-Sweet-Healthy-Melon-Food-Watermelon-Fresh-410329.jpg
Weichkaramellen, Bonbons;Caramel mou;Caramella morbida;Soft caramel candies;71;450;17;10,1;0;2,1;0;320;71,1;https://upload.wikimedia.org/wikipedia/commons/0/02/Caramels.jpg
Weichkäse (Durchschnitt ohne fettreduzierte Varianten);Fromage à pâte molle (en moyenne sans produits en matières grasses reduites);Formaggio a pasta molla (in media senza prodotti sgrassati);Soft cheese (average without fat reduced products);0;325;27;16,5;0;19,3;17;880;0;https://upload.wikimedia.org/wikipedia/commons/3/36/From_Abhisheka_To_Panchamrutha.jpg
Weichkäse, Doppelrahm;Fromage à pâte molle, double crème;Formaggio morbido, doppia panna;Soft cheese, 60% fidm;0;365;35;21;0;12;20;700;0;https://upload.wikimedia.org/wikipedia/commons/e/e9/Egyptian_food_Koshary.jpg
Wein rot, 12 vol%;Vin rouge, 12 vol%;Vino rosso, 12 vol%;Wine red, 12 vol%;0;70;0;0;0;0,2;10;5;0,3;https://upload.wikimedia.org/wikipedia/commons/e/e7/Aventinus_Weizen-Eisbock.jpg
Wein rot, 13.5 vol%;Vin rouge, 13.5 vol%;Vino rosso, 13.5 vol%;Wine red, 13.5 vol%;0;80;0;;0;0;;;0,2;https://upload.wikimedia.org/wikipedia/commons/6/63/Ghaledokhtar.jpg
Wein rot, 9 vol%;Vin rouge, 9 vol%;Vino rosso, 9 vol%;Wine red, 9 vol%;0;55;0;0;0;0,2;10;5;0,2;https://upload.wikimedia.org/wikipedia/commons/7/7f/Guinness_IRL.jpg
Wein weiss, 11 vol%;Vin blanc, 11 vol%;Vino bianco, 11 vol%;Wine white, 11 vol%;2;70;0;0;0;0,1;10;5;2;https://upload.wikimedia.org/wikipedia/commons/7/7e/Wine_Barrels.jpg
Wein weiss, 12.5 vol%;Vin blanc, 12.5 vol%;Vino bianco 12.5 vol%;Wine white, 12.5 vol%;0;75;0;0;0;0,2;10;2;0,1;https://upload.wikimedia.org/wikipedia/commons/c/c2/Twins_Old_Cellar_Wine_house.jpg
Wein weiss, gespritzt, sauer;Vin blanc dilué avec de l'eau gazeuse;Vino biancho diluito con acqua frizzante;Wine white, spritzer, sour;0;35;0;0;0;0,1;5;1,5;0;http://www.publicdomainpictures.net/pictures/90000/nahled/wine-with-ice.jpg
Wein weiss, gespritzt, süss;Vin blanc dilué avec limonade;Vino biancho diluito con limonata;Wine white, spritzer, sweet;5;55;0;0;0;0,1;5,9;2,5;4,8;https://cdn.pixabay.com/photo/2014/02/06/12/04/wine-tasting-259883_960_720.jpg
Weissbrot;Pain blanc;Pane bianco;White bread;49;245;1;0,2;2,5;8,5;0,8;680;0,2;https://upload.wikimedia.org/wikipedia/commons/b/b0/Homemade_White_Bread_with_Strawberry_Jam.jpg
Weisskohl, gedämpft (ohne Zugabe von Salz);Chou blanc, à la vapeur (sans adjonction de sel);Cavolo bianco, al vapore (senza aggiunta di grasso e sale);White cabbage, steamed (without addition of salt);4;30;0;0;3;1,4;2,8;4,1;4,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Kohl-White-Cabbage-Salad-Food-Coleslaw-Herb-718088.jpg
Weisskohl, gedünstet (ohne Zugabe von Fett und Salz);Chou blanc, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo bianco, stufato (senza aggiunta di sale);White cabbage, stewed (without addition of fat and salt) ;5;35;0;0;3,2;1,5;3,1;4,5;4,4;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Weisskohl, roh;Chou blanc, cru;Cavolo bianco, crudo;White cabbage, raw;4;30;0;0;3;1,4;3;4,8;4,1;https://cdn.pixabay.com/photo/2017/02/14/07/32/purchasing-2064963_960_720.jpg
Weisswurst;Saucisse blanche;Salsiccia bianca di carne di vitello;Weisswurst (veal sausage);1;205;18;6,8;0,2;9,8;4,6;6010;0,8;https://c1.staticflickr.com/4/3514/3222560573_a5e3f1bcc6_b.jpg
Weizen (Weichweizen), ganzes Korn;Blé tendre, grains entiers;Frumento (grano tenero), chicco intero ;Wheat, soft, whole grain;60;325;2;0,3;13,3;10,9;6,7;7,7;1,1;https://upload.wikimedia.org/wikipedia/commons/6/66/Whole_wheat_grain_flour_being_scooped.jpg
Weizenflocken, Vollkorn;Blé, flocons complets;Fiocchi di frumento, integrali;Wheat wolemeal flakes;61;330;2;0,3;10,3;11,7;2,7;8;0,7;https://upload.wikimedia.org/wikipedia/commons/a/a0/Buckwheat_and_products_from_it_01.jpg
Weizenkeime;Germe de blé;Germe di frumento;Wheat germ;33;355;10;1,5;15,9;25;0,2;9;13;https://upload.wikimedia.org/wikipedia/commons/e/eb/Milk_loaf_with_wheatgerm.jpg
Weizenkeimöl;Huile de germes de blé;Olio di germi di grano;Wheat germ oil;0;810;90;16,7;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/1/19/WheatgermOil.png
Weizenkleie;Son de blé;Crusca di frumento;Wheat bran, raw;18;265;5;0,7;45,1;14,9;3,1;2;3,8;https://upload.wikimedia.org/wikipedia/commons/a/a0/Buckwheat_and_products_from_it_01.jpg
Weizenmehl (Backmehl), Typ 550;Farine de blé (farine blanche), type 550;Farina di frumento (farina bianca) tipo 550;Wheat flour, bakery, type 550;70;345;1;0,3;3,2;12;0,8;2,1;0,3;https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg
Weizenmehl, halbweiss, Typ 720;Farine de blé (farine mi-blanche), type 720;Farina di frumento (farina semibianca) tipo 720;Wheat flour, semi white, type 720;66;340;2;0,2;5;13;1;2,7;0,5;https://upload.wikimedia.org/wikipedia/commons/a/ab/Milwaukee_05741u.jpg
Weizenmehl, Ruch, Typ 1100;Farine de blé (farine bise), type 1100;Farina di frumento (farina bigia) tipo 1100;Wheat flour, high ash, type 1100;65;340;2;0,3;5,7;13,5;1,5;1,7;0,6;https://upload.wikimedia.org/wikipedia/commons/3/36/Derech_Hadorot_3.JPG
Weizenmehl, Vollkorn, Typ 1700;Farine de blé, complète, type 1700;Farina di frumento (farina integrale) tipo 1700;Wheat flour, wholemeal, type 1700;61;340;2;0,3;11;13,5;2,5;17;1;https://upload.wikimedia.org/wikipedia/commons/e/e8/Spelt_grass_grown_outdoors._With_a_deeper_green_color_than_wheat.jpg
Weizenmehl, weiss, Typ 400;Farine de blé (farine fleur), type 400;Farina di frumento (farina bianca) tipo 400;Wheat flour, white, type 400;71;350;1;0,3;3,2;11,5;0,6;1,5;0,3;https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg
Weizenotto, gekocht;Potée au blé, cuite;Granotto, cotto;Wheat risotto, cooked;28;175;3;0,4;6,2;5,1;3,5;440;1,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Eat-Beetroot-Plate-Risotto-Cook-Bio-557124.jpg
Weizenstärke;Amidon de blé ;Amido di frumento;Wheat starch;86;350;0;0;1,2;0,4;0;2;0;https://upload.wikimedia.org/wikipedia/commons/d/d6/Wheat_starch_granules.JPG
Weizenvollkornbrot;Pain complet de froment;Pane integrale di grano;Wholewheat bread;38;215;1;0,2;6,9;8,6;1,9;580;0,7;https://upload.wikimedia.org/wikipedia/commons/7/79/Vegan_Nine_Grain_Whole_Wheat_Bread.jpg
Wermut, 15 vol%;Vermouth, 15 vol% (p.e. Martini);Vermut, 15 vol%;Vermouth, 15 vol%;14;140;0;0;0;0,1;0;20;13,5;https://upload.wikimedia.org/wikipedia/commons/6/65/Weinsberg_LVWO_Juni_2005.jpg
